objectid,filename,youtubeid,vimeoid,identifier,location,title,creator,date,description,contents,extent,subject,level,series,subseries,type,format,language,itemhistory,access,rights,rightsstatement,,latitude,longitude
coll000011,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000015_Celebrationofthe100YearsofCinema_01December1995.jpg?raw=true,,,2023-UPFIB000015,"Shelf 1, Row 0, Box 4","Celebration of the 100 years of cinema and the 50 years of UNESCO, 01 December, 1995.",U.P. Film Center,1995-12-01,"A folded brochure of the Celebration of the 100 Years of Cinema and the 50 Years of UNESCO, with His Excellency, Director General Federico Mayor of Unesco Paris, The National Artists of the Philippines led by the Honorable Senator Leticia R. Shahani as Guests of Honor, the President of the University of the Philippines Dr. Emil Q. Javier, and the Chair Ms. Virginia R. Moreno, and the Vice-Chair Mr. Hilario S. Francia of the Culture Committee of he UNESCO National Commission, requested in the launching of the Film Museum of Moving Images, held at the Film Center of the UP, 01 December, 1995.","The brochure includes the following headings: Cover; The Meaning of the Perfume Tree Planting Ritual, Ritual Introduction by Virginia Moreno; 100 Years of Cinema and 50 Years of UNESCO Celebration; Perfume Prayer by Virginia R. Moreno [poem]; Sampaguita [song]; Order of the Ceremony; Program; The Film Museum of Moving Images Principle; The Cinema Libre Film Society; The Film Center of the University of the Philippines [profile]; 30 Services of the U.P. Film Center to the Nation [list of services]",1 file envelope: 10 copies; folded: 9.625 in. x 10 in.; expanded: 29 in. x 20.125 in.; folded brochure,Film Heritage in Cinema,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000012,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000016_FilmsDanceandBach_Sept_Dec2000.jpg?raw=true,,,2023-UPFIB000016,"Shelf 1, Row 0, Box 4","Films, dance and Bach, September - December 2000.",Goethe-Institut Manila,2000-09-26,"A brochure booklet of the Goethe-Institute Manila featuring screenings/discussion at the U.P. Film Center titled ""Oberhausen in Southeast Asia: Short Film Presentation by the International Shortfilm Festival Oberhausen,"" held at the U.P. Film Center, September 26, 1999.","The brochure includes the following headings: Cover; Table of Contents; 25 Drawings by Gunter Grass; Oberhausen in Southeast Asia; Women and Film; Akademie Fur Alte Musik, Berlin Concert Master: Stephan Mai; The Prix Jeuness Suitcase 2000 The World's Best in Children's TV; Alee Der Kosmonauten Sasha Waltz; Reality Shots Lessons in Cinematography; Goethe-Institute's Library/Info-Center [advertisement]",1 file envelope: 10 copies; 16 pages per copy; 4.00 in. x 9.00 in.; brochure booklet,Music in Cinema,File,Series B - Promotional Materials,B.01 - Brochures,Image; Brochure Booklet,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000013,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI%20Manuscripts%20Collections%20(Placeholder).png?raw=true,,,2023-UPFIC000001,"Shelf 1, Row 0, Box N","UPFI rental forms, June 30, 2006 - Dec 5, 2006. ","U.P. Film Institute; Alcampado, Aileen V. - correspondent; Cineastes' Studio - correspondent; UP Cinema - correspondent; Philippine Animation Studio, Inc. - correspondent;  UP Sigma Delta Phi - correspondent",2006-06-30,,"Includes mainly videotheque rental forms, post facility rental forms, correspondences on the use of venue and facility.",1 file envelope: 17 items (30 leaves),UPFI Institutional Heritage,File,Series C - Event Documentation,C.01 - Rental Forms,Text; Forms,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is for LIMITED access only of UPFI Faculty and Staff. ,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000014,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_D_Proceedings/2023-UPFID000001_FilmCenterTopPriorityPlans_1976.jpg?raw=true,,,2023-UPFID000001,"Shelf 1, Row 0, Box N","The film center Univerisity of the Philippines: Top priority proposals and history, 1976.",U.P. Film Center,1976,"A brochure booklet containing the UP Film Center's top priority proposals, written by Virginia R. Moreno, dated 1976.",The brochure includes the following headings: Top Priority Proposals; History; Rationale of the Film Center of the University of the Philippines; ,1 file envelope: 10 copies; 16 pages per copy; 8.00 in. x 11.875 in.; brochure booklet,UPFI Institutional Heritage,File,Series D - Proceedings,D.01 - Proposals,Image; Brochure Booklet,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000015,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI%20Manuscripts%20Collections%20(Placeholder).png?raw=true,,,2023-UPFIE000001,"Shelf 1, Row 0, Box N","UPFI correspondences, 12 January - 13 December 2005.",U.P. Film Institute,2005-01-12,,Includes various correspondences to and from UPFI Director and other officials of the organization.,1 file envelope: 66 leaves.,UPFI Institutional Heritage,File,Series E - Correspondences,E.01 - Letters,Text; Letters,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is for LIMITED access only of UPFI Faculty and Staff. ,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000016,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI%20Manuscripts%20Collections%20(Placeholder).png?raw=true,,,2023-UPFIE000002,"Shelf 1, Row 0, Box N","UPFI letters, August 8, 2006 - January 24, 2007.",U.P. Film Institute,2006-08-08,,Includes various correspondences of external origin addressed to UPFI officials and staff.,1 file envelope: 8 leaves.,UPFI Institutional Heritage,File,Series E - Correspondences,E.01 - Letters,Text; Letters,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is for LIMITED access only of UPFI Faculty and Staff. ,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000017,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI%20Manuscripts%20Collections%20(Placeholder).png?raw=true,,,2023-UPFIH000001,"Shelf 1, Row 0, Box N","UPFI financial documents, March 2005 - June 2005.",U.P. Film Institute,2005-03,,Includes statement of account addressed to external clients who availed venue rental services of UP Film Institute.,1 file envelope: 4 leaves.,UPFI Institutional Heritage,File,Series H - Administrative Documents (Staff),H.01 - Financials,Text; Documents,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is for LIMITED access only of UPFI Faculty and Staff. ,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000018,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_H_Administrative%20Documents%20(Staff)/2023-UPFIH000002_Documents%20of%20Virginia%20Moreno_1985.jpg?raw=true,,,2023-UPFIH000002,"Shelf 1, Row 0, Box N","UPFI Virginia R. Moreno files, 1985-November 4, 1987.","Moreno, Virginia R.",1985,,"Includes curriculum vitae of Virginia Moreno; ""Straw Patriot: A Tragedy in Five Scenes"" by Virginia R. Moreno [play]; Cover of ""Batik Maker and other Poems"" by Virginia R. Moreno",1 file envelope: 3 items; play - 28 pages; CV - 8 pages [continues paper]; carton cover - 1 leaf,UPFI Institutional Heritage; Virginia R. Moreno;,File,Series H - Administrative Documents (Staff),H.02 - Personal Staff Documents,Image; Booklet,image/jpeg,English,2024-01-19 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,14.65677,121.0672
coll000019,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000009_UNESCOParisPhilippineCulturalWeek_1990s.jpg?raw=true,,,2023-UPFIB000009,"Shelf 1, Row 0, Box 3","UNESCO Paris Philippine cultural week, 1990s.",UNESCO,1990s,A brochure booklet of the UNESCO Paris Philippine Cultural Week circa 1990s.,"The brochure includes the following headings: Photo sampler and notes on Tribal, Muslim, Baro't Saya, Maria Clara, Barong Tagalog, Terno.  ",1 file envelope: 10 copies; 8 pages per copy; 8.50 in. x 11.00 in.; brochure booklet,Philippine Herritage,File,Series B - Promotional Materials,B.01 - Brochures,Image; Brochure Booklet,image/jpeg,English,2024-01-23 (Record Created-AdrianM.); 2023-02-17 (Accessioned-RRR.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000020,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000010_FullHouseinNovemberNovember10_29_1997.jpg?raw=true,,,2023-UPFIB000010,"Shelf 1, Row 0, Box 3","Fullhouse in November, November 10-29, 1997.",U.P. Film Center,1997-11-10,"A brochure booklet of the UP Film Center Cinemalibre Film Society's programme for November 10-29, 1997.","The brochure includes the following headings: Programme Profile; A Haunting Journey Into the Golden Age of Japanese Cinema [essay]; 1997 Japan Film Festival: Japanese Golden Age of Cinema Classics; A Surprise Encounter with Pelikula '97 [essay] in Pelikula 97: A Festival of Contemporary Spanish Films; Weaving Through the Hollywood Maze [essay] in Hollywood Choice Cuts: Comedy, Action, Drama; An-Imagination Towards the New Millennium [essay] in Animagination '97: The Second Filipino Animation Festival.",1 file envelope: 6 copies; 15 pages per copy; 10.875 in. x 8.4375 in.; brochure booklet,Animation in Films; Spanish Cinema; Japanese Cinema,File,Series B - Promotional Materials,B.01 - Brochures,Image; Brochure Booklet,image/jpeg,English,2024-01-23 (Record Created-AdrianM.); 2023-02-17 (Accessioned-NLC.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000021,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000011_Rizalsa%20DapitanSeptember_30_1997.jpg?raw=true,,,2023-UPFIB000011,"Shelf 1, Row 0, Box 3","Rizal sa Dapitan, September 30, 1997.",U.P. Film Center,1997-09-30,"A brochure poster of the International Celebration Screening of Rizal sa Dapital, Winner of 12 Manila Film Festival Prizes, Directed by Amable ""Tikoy"" Aguiluz VI, Movpix International Inc., on Tuesday, 30 September 1997, at 10 o'clock in the morning in Cinema Theater and Perfume Garden of the U.P. Film Center and the launching of this Prize film in the Philippine Centential Year its world tour of film capitals: UNESCO Paris, to Brussels, Berlin, Toronto, and other member states of UNESCO.","The brochure includes the following headings: Rizal sa Dapitan: Film Gift to the Nation [narrative]; Program; The Meaning of the Perfume Tree Planting Ritual, A Ritual Introduction by Director Virginia R. Moreno; Culture at the Heart of Philippine Foreign Policy;Rizal sa Dapitan Awards; Synopis; Production Notes; 21 Years of the Tree of Life of the U.P. Film Center; 31 Services of the U.P. Film Center to the Nation; Poster",1 file envelope: 10 copies; folded: 8.625 in. x 12.125 in.; expanded: 24.25 in. x 34.5 in. x ; brochure poster,Literature in Film; Jose Rizal in Film,File,Series B - Promotional Materials,B.01 - Brochures,Image; Brochure Poster,image/jpeg,English,2024-01-23 (Record Created-AdrianM.); 2023-02-17 (Accessioned-ARS),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
